,,KolorNet1,KolorNet2,KolorNet9,KolorNet11,KolorNet19,KolorNet22
CocoStaff10k,PSNR,23.4351,23.6654,23.2879,22.9356,23.5274,22.5792
CocoStaff10k,SSIM,0.9234,0.9238,0.9192,0.9141,0.9198,0.9073
CocoStaff10k,LPIPS,0.202,0.1959,0.2053,0.2109,0.2028,0.2365
CocoStaff10k,FSIM,0.9765,0.9776,0.976,0.9731,0.9774,0.9716
Div2k,PSNR,22.0111,22.3788,22.3422,22.0517,22.458,21.6013
Div2k,SSIM,0.9115,0.9114,0.9084,0.9058,0.9089,0.8986
Div2k,LPIPS,0.2076,0.1997,0.2218,0.224,0.2202,0.2324
Div2k,FSIM,0.9716,0.9732,0.9732,0.9706,0.9741,0.9683
Imagenet10k,PSNR,19.2485,23.347,22.8343,22.1225,22.8749,20.6254
Imagenet10k,SSIM,0.9246,0.9405,0.9333,0.9205,0.929,0.9068
Imagenet10k,LPIPS,0.2946,0.2538,0.2785,0.3389,0.3098,0.298
Imagenet10k,FSIM,0.957,0.9755,0.9741,0.9722,0.9735,0.9564
Places365,PSNR,24.0419,24.3577,24.0499,23.4015,23.7052,23.1464
Places365,SSIM,0.9475,0.9474,0.9427,0.9323,0.9343,0.9297
Places365,LPIPS,0.1845,0.1774,0.187,0.23,0.2284,0.2199
Places365,FSIM,0.9785,0.9798,0.9785,0.9749,0.9774,0.9737
